customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_security,num_products,senior_citizen,has_partner,has_dependents,churn
CUST00001,37,65.82,2535.25,Two year,Mailed check,DSL,Yes,Yes,1,0,No,No,No
CUST00002,61,144.71,8925.86,Two year,Bank transfer,Fiber optic,Yes,Yes,1,1,No,Yes,No
CUST00003,34,95.12,3291.16,One year,Bank transfer,Fiber optic,Yes,No,2,0,Yes,No,Yes
CUST00004,70,81.41,5417.08,Two year,Bank transfer,DSL,Yes,Yes,1,0,No,No,No
CUST00005,17,46.18,784.97,Month-to-month,Bank transfer,No,No internet service,No internet service,1,0,No,Yes,No
CUST00006,20,118.67,2357.06,Month-to-month,Electronic check,No,No internet service,No internet service,3,0,No,No,No
CUST00007,59,106.66,6422.49,One year,Credit card,DSL,Yes,No,3,0,No,No,Yes
CUST00008,69,90.35,6160.99,Two year,Bank transfer,Fiber optic,No,No,3,1,Yes,Yes,Yes
CUST00009,33,104.61,3616.65,Month-to-month,Credit card,Fiber optic,No,Yes,2,0,No,No,No
CUST00010,17,64.76,1119.66,Two year,Mailed check,No,No internet service,No internet service,3,0,Yes,Yes,No
CUST00011,57,94.13,5451.21,One year,Electronic check,Fiber optic,No,No,3,0,Yes,No,No
CUST00012,1,103.77,108.12,Month-to-month,Mailed check,DSL,Yes,No,2,1,Yes,No,Yes
CUST00013,13,86.09,1174.59,Month-to-month,Mailed check,Fiber optic,Yes,Yes,1,1,Yes,No,Yes
CUST00014,27,47.18,1235.37,Month-to-month,Bank transfer,No,No internet service,No internet service,1,0,Yes,No,No
CUST00015,70,63.78,4603.24,Two year,Mailed check,DSL,No,No,2,0,No,No,No
CUST00016,59,108.92,6209.28,Two year,Credit card,Fiber optic,Yes,Yes,3,0,Yes,No,Yes
CUST00017,6,79.87,477.16,Two year,Bank transfer,DSL,No,No,2,0,No,Yes,No
CUST00018,23,138.87,3066.31,Two year,Bank transfer,No,No internet service,No internet service,2,0,Yes,No,No
CUST00019,10,47.73,483.19,Month-to-month,Electronic check,DSL,No,No,1,0,Yes,No,Yes
CUST00020,51,23.91,1215.57,One year,Credit card,No,No internet service,No internet service,1,0,No,Yes,Yes
CUST00021,19,100.75,1938.89,Two year,Credit card,Fiber optic,No,Yes,2,0,Yes,No,No
CUST00022,51,115.92,6017.13,Two year,Bank transfer,Fiber optic,Yes,No,4,0,Yes,No,No
